Username,Profile URL,Latitude,Longitude,Google Maps,Tweet
Benrazy2ly,https://twitter.com/Benrazy2ly,-1.28333,36.8167,"https://maps.google.com/?q=-1.28333,36.8167",b'Pumpkin beans served with pumpkin chapati ??? @ My Happy Place https://t.co/tsVpEdkQmf'
RonnyReagan10,https://twitter.com/RonnyReagan10,-1.28333,36.8167,"https://maps.google.com/?q=-1.28333,36.8167","b'Take control of your destiny. Believe in yourself. Ignore those who try to discourage you. Avoid negative sources,? https://t.co/5qpMeM5VXe'"
JoyousOcean,https://twitter.com/JoyousOcean,-1.28333333,36.81666667,"https://maps.google.com/?q=-1.28333333,36.81666667",b'Life in the time of #therona gives you time to count your blessings and smell the flowers. #birthdaytings #thisis53? https://t.co/k3YCe5NiIC'
amore_ke,https://twitter.com/amore_ke,-1.28333333,36.81666667,"https://maps.google.com/?q=-1.28333333,36.81666667",b'Circle of Love #comfort #beautiful #shoes #shoesday #sale  #1400kes #WEDELIVER @ Nairobi https://t.co/xDi7XBvppk'
MorganFifield,https://twitter.com/MorganFifield,-1.28333,36.8167,"https://maps.google.com/?q=-1.28333,36.8167",b'big ?never got to play post season CIT? mood. #miss #it #already !! @ My Happy Place https://t.co/Qp7kcB6y7y'
bmrafrika,https://twitter.com/bmrafrika,-1.28333,36.8167,"https://maps.google.com/?q=-1.28333,36.8167",b'Yesterday we had a session at the house with the ugaboymusic @iPhoolish_Afrik @joefes254 @Iamdezian hid16th we did? https://t.co/yNgNEo3Jov'
DjHunky,https://twitter.com/DjHunky,-1.28333,36.8167,"https://maps.google.com/?q=-1.28333,36.8167","b'#curfew @ Nairobi, Kenya https://t.co/58JlMZtr4y'"
JosephineLemein,https://twitter.com/JosephineLemein,-1.28229581,36.82597383,"https://maps.google.com/?q=-1.28229581,36.82597383",b'Elegant ladies watches available now. For enquiries call/whatapp us on 0712815567 @ Emayian Beauty Galore https://t.co/RZh0jsRcjw'
amore_ke,https://twitter.com/amore_ke,-1.28333333,36.81666667,"https://maps.google.com/?q=-1.28333333,36.81666667","b'From us to you, good night and receive our virtual hugs and kisses ???? #GodblessKenya #goodnight #goodvibes @ Nair? https://t.co/2NB9I43cBD'"
amore_ke,https://twitter.com/amore_ke,-1.28333333,36.81666667,"https://maps.google.com/?q=-1.28333333,36.81666667","b'As you stay home, remember to take great care of your skin .\n#sheabutter \n#cocoabutter \n#blacksoap \n#onlineshopping? https://t.co/M2rHkDBENy'"
